Time,Old_state,New_state
46017856,RX_CTRL,IDLE
46232141,IDLE,TX
46249997,TX,IDLE
46250000,IDLE,RX_CTRL
46267856,RX_CTRL,IDLE
46482141,IDLE,TX
46499997,TX,IDLE
46500000,IDLE,RX_CTRL
46517856,RX_CTRL,IDLE
46732141,IDLE,TX
46749997,TX,IDLE
46750000,IDLE,RX_CTRL
46767856,RX_CTRL,IDLE
46982141,IDLE,TX
46999997,TX,IDLE
47000000,IDLE,RX_CTRL
47017856,RX_CTRL,IDLE
47232141,IDLE,TX
47249997,TX,IDLE
47250000,IDLE,RX_CTRL
47267856,RX_CTRL,IDLE
47482141,IDLE,TX
47499997,TX,IDLE
47500000,IDLE,RX_CTRL
47517856,RX_CTRL,IDLE
47732141,IDLE,TX
47749997,TX,IDLE
47750000,IDLE,RX_CTRL
47767856,RX_CTRL,IDLE
47982141,IDLE,TX
47999997,TX,IDLE
48000000,IDLE,RX_CTRL
48017856,RX_CTRL,IDLE
48232141,IDLE,TX
48249997,TX,IDLE
48250000,IDLE,RX_CTRL
48267856,RX_CTRL,IDLE
48482141,IDLE,TX
48499997,TX,IDLE
48500000,IDLE,RX_CTRL
48517856,RX_CTRL,IDLE
48732141,IDLE,TX
48749997,TX,IDLE
48750000,IDLE,RX_CTRL
48767856,RX_CTRL,IDLE
48982141,IDLE,TX
48999997,TX,IDLE
49000000,IDLE,RX_CTRL
49017856,RX_CTRL,IDLE
49232141,IDLE,TX
49249997,TX,IDLE
49250000,IDLE,RX_CTRL
49267856,RX_CTRL,IDLE
49482141,IDLE,TX
49499997,TX,IDLE
49500000,IDLE,RX_CTRL
49517856,RX_CTRL,IDLE
49732141,IDLE,TX
49749997,TX,IDLE
49750000,IDLE,RX_CTRL
49767856,RX_CTRL,IDLE
49982141,IDLE,TX
49999997,TX,IDLE
50000000,IDLE,RX_CTRL
50017856,RX_CTRL,IDLE
50232141,IDLE,TX
50249997,TX,IDLE
50250000,IDLE,RX_CTRL
50267856,RX_CTRL,IDLE
50482141,IDLE,TX
50499997,TX,IDLE
50500000,IDLE,RX_CTRL
50517856,RX_CTRL,IDLE
50732141,IDLE,TX
50749997,TX,IDLE
50750000,IDLE,RX_CTRL
50767856,RX_CTRL,IDLE
50982141,IDLE,TX
50999997,TX,IDLE
51000000,IDLE,RX_CTRL
51017856,RX_CTRL,IDLE
51232141,IDLE,TX
51249997,TX,IDLE
51250000,IDLE,RX_CTRL
51267856,RX_CTRL,IDLE
51482141,IDLE,TX
51499997,TX,IDLE
51500000,IDLE,RX_CTRL
51517856,RX_CTRL,IDLE
51732141,IDLE,TX
51749997,TX,IDLE
